Logger:         	Automatically truncated logfile to 1048576, MadelineProto 8.0.1
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /Applications/XAMPP/xamppfiles/htdocs/dropseller/public/session.madeline/lightState.php.lock...
